Id,Image,question_text,answer_text,Keyword,max_mark
1,,Explain one characteristic of structure P that is related to its function,The palisade mesophyll cells are arranged vertically and tightly near the upper surface of the leaf and are packed with chloroplasts to catch maximum light for photosynthesis.,"palisade mesophyll, chloroplasts, light, photosynthesis",4
2,,Explain the reaction that takes place in R,The light reaction occurs in the grana where chlorophyll absorbs light energy causing excitation of electrons and photolysis of water molecules to produce hydrogen ions and hydroxyl ions.,"light reaction, grana, chlorophyll, excited electrons, photolysis, water molecules, hydrogen ions",4
3,,Explain how xylem vessel is adapted to transport water in plants.,"The xylem vessel is a long hollow continuous tube of dead cells without protoplasm forming a continuous water column and its walls are thickened with lignin to provide waterproof properties, mechanical support and prevent collapsing.","xylem vessel, hollow tube, dead cells, lignin, water transport, mechanical support",4
4,,Diagram 1.2 shows the formation of an annual ring on the stem of plant that undergoes secondary growth in region of temperate climate. Explain how the dark and light rings are form.,"In temperate regions the plant growth rate varies throughout the year where during spring and summer higher light intensity increases the rate of photosynthesis producing larger xylem cells that form light rings, while during autumn and winter lower light intensity slows growth producing smaller xylem cells that form dark rings","temperate climate, growth rate, photosynthesis, xylem cells, light rings, dark rings ",4
5,,Describe the structure of protein R.,Protein R has a primary structure consisting of a linear sequence of amino acids arranged in a polypeptide chain.,"primary structure, amino acids, polypeptide chain",4
6,,Explain how the products in Diagram 2.2 are formed.,The products are formed through hydrolysis where peptide bonds are broken down to produce dipeptides.,"hydrolysis, peptide bonds, dipeptides",4
7,,"Based on Diagram 2.3, explain the changes that occurred on the baju kurung.",The silk in the baju kurung is a protein that undergoes denaturation causing the three dimensional structure and configuration of the protein to change or become damaged.,"silk, protein, denaturation, protein structure, three dimensional structure",4
8,,Explain what will happen to cell K in the absence of oxygen.,"In the absence of oxygen, cell K undergoes anaerobic respiration where glucose is partially broken down to produce ethanol and carbon dioxide with only 2 ATP produced.","anaerobic respiration, glucose, ethanol, carbon dioxide, atp",4
9,,"Based on the above statement, state the condition faced by the athlete and explain why.","The athlete experiences oxygen debt due to a lack of oxygen in the body, requiring more oxygen intake to oxidise accumulated lactic acid.","oxygen debt, oxygen deficiency, oxygen intake, lactic acid oxidation",4
10,,Explain how division of cell Q brings about variation in organism.,Variation occurs because crossing over takes place during prophase I where genetic material is exchanged between non sister chromatids.,"crossing over, prophase i, genetic material, non sister chromatids, variation ",4
11,,A patient is diagnosed with cell T by a doctor. Explain the formation of cell T.,Cell T is a cancer cell formed when mutation disrupts the gene controlling the cell cycle causing uncontrolled mitosis that produces many daughter cells rapidly and forms abnormal lumps or growth.,"cancer cell, mutation, cell cycle, mitosis, abnormal growth",4
12,,Explain the structural difference that makes the human heart more efficient than the frog heart.,"The human heart has four chambers separated by a septum which prevents mixing of oxygenated and deoxygenated blood in the ventricles, allowing blood with a high concentration of oxygen to be transported efficiently to the cells.","four chambers, septum, oxygenated blood, deoxygenated blood, oxygen transport",4
13,,How do structures J and K work to create the heart pumping force?,Structures J and K generate waves of electrical impulses that spread to the atria and ventricles through the bundle of His and Purkinje fibres causing the atria and ventricles to contract and produce the heart pumping force.,"electrical impulses, atria, ventricles, bundle of his, purkinje fibres",4
14,,Explain the effect of contraction of the atrium and ventricles on blood flow in the heart.,Contraction of the atria and ventricles increases pressure in the chambers causing the bicuspid and tricuspid valves to open and allowing blood to flow from the atria to the ventricles and from the ventricles to the aorta and pulmonary artery.,"atrium contraction, ventricle contraction, pressure increase, bicuspid valve, tricuspid valve, blood flow",4
15,,Explain what causes the differences in temperature in some parts of the individual body.,"Different body parts have different temperatures because the core body temperature is maintained by heat produced from liver and metabolic activities to keep vital organs constant while blood carries heat to other parts where heat is lost, especially at the hands and feet which have larger surface areas and lose more heat.","core body temperature, liver, metabolic activities, heat loss, surface area",4
16,,Organ X and organ Y play an important role in the digestive system. Explain the role of organ X and organ Y in digestion of lipid.,"Organ X, the gall bladder, stores bile which emulsifies lipids into tiny droplets to increase their surface area, while organ Y, the pancreas, secretes pancreatic juice containing lipase that hydrolyses the lipids into fatty acids and glycerol.","gall bladder, bile, lipid emulsification, pancreas, pancreatic juice, lipase, fatty acids, glycerol",4
17,,Cell Z also able to produce hydrochloric acid. Explain the importance of hydrochloric acid in digesting process,Hydrochloric acid in the stomach creates an acidic environment that activates digestive enzymes and helps break down food during digestion.,"hydrochloric acid, acidic environment, digestive enzymes, digestion",4
18,,Explain the process that take place at point X,Crossing over occurs where DNA segments are exchanged between non-sister chromatids resulting in a new combination of genes.,"crossing over, DNA segments, non sister chromatids, gene recombination",4
19,,Explain the action of muscles which cause the movement of grasshopper,"The movement of a grasshopper involves the flexor and extensor muscles where before jumping the flexor muscles contract causing the hind legs to fold, and during jumping the flexor muscles relax while the extensor muscles contract to rapidly straighten the hind legs and release energy from the tendons to push the body upward and forward.","flexor muscles, extensor muscles, hind legs, tendon, muscle contraction",4
20,,Explain the function of organelle Q.,Organelle Q is the site of cellular respiration where energy is produced in the form of ATP to provide energy for activities such as muscle contraction during flight.,"cellular respiration, ATP, energy production, muscle contraction",4
21,,Explain the adaptation of cell Q to function efficiently in photosynthesis,"Cell Q has many chloroplasts to absorb more light energy, is located near the upper epidermis to receive maximum sunlight and is tightly packed in cylindrical shape to maximize light absorption for photosynthesis.","chloroplasts, light energy, upper epidermis, photosynthesis",4
22,,Explain how light intensity affects the opening of stoma.,"High light intensity increases photosynthesis in guard cells causing potassium ions to enter the guard cells making them hypertonic so water enters by osmosis, the guard cells become turgid and bend outward causing the stoma to open.","light intensity, guard cells, photosynthesis, potassium ions, osmosis, turgid",4
23,,Explain the formation of extracellular enzyme.,"Proteins are synthesized at ribosomes, transported to the Golgi apparatus via transport vesicles where they are modified into enzymes, then secretory vesicles bud off and fuse with the plasma membrane to release the enzyme outside the cell as an extracellular enzyme.","ribosomes, Golgi apparatus, transport vesicles, secretory vesicles, extracellular enzyme",4
24,,"Based on Diagram 2.3, discuss how the mutation affects the formation of the enzyme.",Mutation changes the nitrogenous base sequence in DNA which alters the amino acid sequence during protein synthesis resulting in the formation of a different protein and therefore a different enzyme.,"mutation, DNA, nitrogenous base sequence, amino acids, protein synthesis, enzyme",4
25,,Explain why the second injection is needed.,"The first injection produces a low level of antibodies that is not sufficient to protect against disease, therefore the second booster injection stimulates a higher production of antibodies to provide effective immunity.","antibodies, booster injection, immunity, antibody production",4
26,,"Based on your biological knowledge, explain the treatment that should be given if a boy is bitten by a stray dog.",An injection of antiserum containing antibodies against rabies should be given to provide immediate and temporary protection against the disease.,"antiserum, antibodies, rabies, immediate protection",4
27,,Explain how fever helps in fighting against the pathogen.,Fever raises body temperature during infection which helps denature proteins of pathogens and slows or retards the growth and replication of pathogens while antigens stimulate lymphocytes to produce antibodies to fight them.,"fever, antigen, lymphocytes, antibodies, pathogen replication, protein denaturation",4
28,,Explain why the vertebral column is not straight.,"The vertebral column is not straight because its curved structure provides flexibility and support, helps distribute body weight, and reduces the risk of fracture.","vertebral column, flexibility, support, body weight distribution",4
29,,Explain why slipped discs cause severe pain in the lower back.,A slipped disc reduces shock absorption and increases friction between the vertebrae which can press on nearby nerves and cause severe pain in the lower back.,"slipped disc, vertebrae, friction, shock absorption, nerves",4
30,,What causes oxygen debt to occur? Discuss how to overcome the problem.,"Oxygen debt occurs during vigorous exercise when oxygen intake cannot meet cellular demand causing muscles to undergo anaerobic respiration and incomplete oxidation of glucose leading to lactic acid accumulation, which can be overcome by breathing deeply and rapidly to inhale more oxygen to completely oxidise lactic acid.","oxygen debt, vigorous exercise, oxygen deficiency, anaerobic respiration, glucose oxidation, lactic acid",4
31,,Explain how toxic wastes affect the uptake of ions in plants.,Toxic wastes inhibit cellular respiration resulting in no energy production which prevents active transport and reduces the absorption of mineral ions into the plant.,"toxic waste, cellular respiration, energy, active transport, mineral ions",4
32,,Explain the effect on the animals in Diagram 2.1 and Diagram 2.2 if the population of microorganisms decreases in their digestive systems.,"If the population of microorganisms decreases, the amount of cellulase enzyme decreases causing cellulose from plants to be incompletely digested which results in undigested food in faeces and nutrient deficiency in the animals.","microorganisms, cellulase, cellulose digestion, undigested food, nutrient deficiency",4
33,,"At the end of the 200 metre sprint event, the man in situation Q experienced painful leg cramps due to muscle fatigue. Explain why muscle fatigue occurs.","Muscle fatigue occurs when the rate of oxygen use by muscle cells exceeds the oxygen supplied by the blood causing oxygen deficiency, leading muscles to undergo anaerobic respiration where glucose is partially broken down into lactic acid which accumulates and causes muscle fatigue.","oxygen deficiency, anaerobic respiration, glucose breakdown, lactic acid, muscle fatigue",4
34,,Explain the formation of fluid R.,"Fluid R is interstitial fluid formed when the larger diameter of the arteriole end creates high hydrostatic pressure that forces blood plasma and small molecules such as glucose, amino acids, water and fatty acids out of the capillaries into the intercellular spaces.","interstitial fluid, arteriole, hydrostatic pressure, blood plasma, capillaries",4
35,,90% of the interstitial fluid that leaves the blood must be returned to the blood circulatory system. Explain what will happen if the excess interstitial fluid fails to return to vessel P.,"If excess interstitial fluid fails to return to vessel P, fluid accumulates in the intercellular spaces causing swelling of body tissues and organs which leads to oedema.","interstitial fluid, fluid accumulation, intercellular spaces, tissue swelling, oedema",4
36,,Explain one adaptation of structure R to perform its function more efficiently.,The inner membrane of structure R is folded to increase surface area which enhances cellular respiration and allows more energy to be produced.,"inner membrane, surface area, cellular respiration, energy",4
37,,"Based on Diagram 1.2, explain the final observation.","The chilli bends outward because tap water is hypotonic to the cell sap causing water to enter the cells by osmosis, leading to expansion of the vacuole and making the cells turgid.","hypotonic, osmosis, vacuole, turgid",4
38,,"Emphysema is a type of lung disease,Explain the effects of the disease to the health of the individual.",Emphysema reduces the surface area of the alveoli causing less oxygen to diffuse into the blood which results in body cells receiving less oxygen leading to breathing difficulties and fatigue.,"emphysema, alveoli, surface area, oxygen diffusion, breathing difficulty, fatigue",4
39,,Explain why the radicle grows towards direction Y,"Auxin controls the plant response to gravity by accumulating on the lower side of the root tip where high auxin concentration inhibits cell elongation, causing cells on the upper side to elongate more and resulting in the radicle bending and growing downward towards gravity showing positive geotropism.","auxin, gravity, geotropism, cell elongation, root tip",4
40,,"""Explain the role of process X in maintaining the number of chromosomes from one generation to another.","Meiosis produces haploid gametes and fertilisation between haploid gametes forms a diploid zygote, ensuring the chromosome number is maintained from one generation to the next.","meiosis, haploid gametes, fertilisation, diploid zygote, chromosome number",4
41,,Explain how the light intensity affects the organism in the pond.,"Sufficient light intensity allows aquatic plants to absorb light for photosynthesis which increases oxygen production for cellular respiration, leading to improved survival and an increase in the population of organisms in the pond.","light intensity, photosynthesis, oxygen, cellular respiration, population",4
42,,Describe the formation of its annual rings.,Annual rings are formed by secondary growth occurring at different rates according to the seasons where larger and lighter secondary xylem is produced in spring due to sufficient light and water while smaller and darker xylem is formed in winter due to reduced light and water.,"secondary growth, seasonal variation, xylem, light, water",4
43,,Tissue Z is involved in water and mineral salts transportation. Explain one adaptation of tissue Z to perform its function efficiently.,Tissue Z forms a continuous elongated column from end to end which facilitates the continuous transport of water and mineral salts from roots to leaves.,"xylem, continuous column, water transport, mineral salts",4
44,,Explain how this individual is born with this genetic disorder.,The individual is born with this genetic disorder due to non-disjunction during anaphase when homologous chromosome 21 fails to separate producing gametes with abnormal chromosome numbers.,"non disjunction, anaphase, homologous chromosomes, chromosome 21, abnormal gametes",4
45,,State one difference between the processes carried out in human cell and plant in Diagram 6.2.,In human cells glucose is obtained from the hydrolysis of carbohydrates during digestion in the alimentary canal whereas in plant cells glucose is produced through photosynthesis.,"glucose, hydrolysis, carbohydrates, digestion, photosynthesis",4
46,,"If tissue P is torn because of an accident, what problems will be faced by this patient?","If tissue P (tendon) is torn, the muscle will not be attached to the bone and the pulling force cannot be transmitted, resulting in inability to move the joint such as bending the arm.","tendon, muscle attachment, pulling force, joint movement",4
47,,"Based on Diagram 7.1, explain how bending of forearm take place which involves muscle X, muscle Y, tissue P and bone Z.","Bending of the forearm occurs when muscle X (biceps) contracts and muscle Y (triceps) relaxes, transmitting pulling force through tissue P (tendon) to bone Z (radius) causing it to be pulled upwards.","biceps, triceps, tendon, radius, muscle contraction",4
48,,"In your opinion, suggest a food that is suitable for this patient","Foods such as milk or green vegetables like broccoli are suitable as they are rich in calcium, vitamin D or phosphorus which help increase bone strength and density.","calcium, vitamin d, phosphorus, bone density, osteoporosis",4
49,,"Based on Diagram 8.1, explain the interaction between the antigen of the bacterium and antibody.",Antibodies bind specifically to antigens on the bacterium through a chemical interaction resulting in agglutination.,"antigen, antibody, specific binding, agglutination",4
50,,"Based on Diagram 8.2, describe the differences in the response to the first and second injection.","In the first injection antibodies are produced after a delay and in lower concentration as lymphocytes are stimulated, whereas in the second injection antibodies are produced immediately in higher concentration as lymphocytes respond rapidly and immunity level is achieved.","antibodies, lymphocytes, primary response, secondary response, immunity",4
51,,State the definition of food chain.,A food chain is a sequence of energy transfer from one trophic level to the next starting with producers and ending with secondary or tertiary consumers.,"food chain, energy transfer, trophic level, producers, consumers",4
52,,Explain the technique.,"The capture mark release recapture technique involves randomly capturing samples, recording their number, marking them, releasing them back into the same area, recapturing after a period, recording marked and unmarked samples, and estimating population size using a formula.","capture mark recapture, sampling, marking, recapture, population estimation",4
53,,Describe the interaction between the prey and predator.,"In a predator-prey interaction such as rabbit as prey and fox as predator, an increase in prey population leads to an increase in predator population due to more food availability, while an increase in predator population reduces prey numbers, resulting in dynamic equilibrium.","predator, prey, population, food availability, dynamic equilibrium",4
54,,Explain the role of cell component P to ensure the survival of the protozoa in its habitat.,Cell component P carries out osmoregulation by allowing water to enter by osmosis until it reaches maximum size and then contracting to expel excess water to maintain internal balance.,"osmoregulation, osmosis, water balance, contraction, protozoa",4
55,,Explain how ion W is involved in the mechanism.,"Ion W is potassium ion actively transported into guard cells, increasing solute potential in the vacuole which causes water to enter by osmosis, making the guard cells turgid and curved outward to open the stoma.","potassium ion, active transport, guard cell, solute potential, osmosis, turgid, stoma open",4
